id,order_num,date,total
38,114325,01/10/22 19:29,"לוח אם GIGABYTE B550 AORUS ELITE AX V2 RGB
                            

מק""ט: 95B55037



                            ₪555
                        
1

₪555










                                קירור נוזלי כפול ANTEC VORTEX 240 ARGB include Controller
                            

מק""ט: AN3-V2400



                            ₪299
                        
1

₪299"
42,115216,11/10/22 20:16,"כרטיס רשת אלחוטי TPLINK TL-WN722N USB
                            

מק""ט: 916032



                            ₪42
                        
4

₪168










                                חלקי מחשב בנדל Sama+500W H410M S2H i3-10105 A30 8GB 500NVME
                            

מק""ט: MC-1010550



                            ₪1,009
                        
1

₪1,009"
45,116216,23/10/22 00:41,"עכבר  Genius NX-7000 Black
                            

מק""ט: US-240



                            ₪28
                        
5

₪140










                                כבל HDMI 1.8M
                            

מק""ט: 29081



                            ₪9
                        
5

₪45










                                מתאם USB ל 2 - PS2
                            

מק""ט: 29090



                            ₪1
                        
5

₪5










                                צורב פנימי RW Bulk -/+LITEON 5.25 SATA III X24 DVD
                            

מק""ט: 22201



                            ₪51
                        
1

₪51










                                באנדל חלקים ATX CASE 500W H410M H V3 i3-10105BOX 8GB 240 NVME
                            

מק""ט: MC-1010520



                            ₪950
                        
1

₪950"
47,116379,23/10/22 14:42,"סט אלחוטי שחור 3 שפות Lenovo 510 Wireless Set Heb/Eng/Russian
                            

מק""ט: LN-KM510BR



                            ₪89
                        
1

₪89"
50,117586,31/10/22 12:57,"קירור נוזלי כפול Antec SYMPHONY 240 ARGB115X/1200/1700/2066/AM4
                            

מק""ט: AN3-SYM2401



                            ₪289
                        
1

₪289"
54,118078,03/11/22 15:47,"כרטיס מסך Gigabyte RTX3060Ti Gaming OC 8GB 2.0 256Bit Pcie 4.0
                            

מק""ט: GVN306T835



                            ₪1,899
                        
1

₪1,899"
56,118157,05/11/22 17:22,"מארז ANTEC DF600 Flux ARGB FANS
                            

מק""ט: AN1-DF600F



                            ₪275
                        
1

₪275










                                חלקי מחשב בנדל Sama+500W H410M S2H i3-10105 A30 8GB 500NVME
                            

מק""ט: MC-1010550



                            ₪1,009
                        
1

₪1,009"
64,118817,09/11/22 07:33,"חלקי מחשב בנדל Sama+500W H410M S2H i3-10105 A30 8GB 500NVME
                            

מק""ט: MC-1010550



                            ₪1,009
                        
1

₪1,009"
66,118858,09/11/22 11:03,"ז.  נייד SANDISK Cruser Glide SDCZ600 256G USB 3
                            

מק""ט: SDCZ600-256



                            ₪85
                        
2

₪170"
68,118864,09/11/22 11:33,"דיסק פנימי 2.5 Kingston A400 480GB SSD 3D NAND
                            

מק""ט: KING-SSD480A4



                            ₪129
                        
1

₪129"
73,120187,17/11/22 13:30,"דיסק פנימי 2.5 Kingston A400 480GB SSD 3D NAND
                            

מק""ט: KING-SSD480A4



                            ₪129
                        
2

₪258"
76,120510,20/11/22 20:12,"מפצל 4 PORT USB 3.0 פסיבי
                            

מק""ט: USB34P



                            ₪39
                        
1

₪39










                                כבל מ-Display Port ל-HDMI P1080 חד כיווני 1.8 מ'
                            

מק""ט: 29207



                            ₪15
                        
2

₪30










                                Solid F270M FHD VA 5ms VGA HDMI Speakers SuperSlim Frameless Blac
                            

מק""ט: SLM-F270M



                            ₪399
                        
1

₪399










                                כבל מאריך USB3 3M
                            

מק""ט: 29263



                            ₪17
                        
2

₪34










                                מסך Solid H2390 FHD IPS 5Ms VGA HDMI Speakers 75Hz Black
                            

מק""ט: SLM-H2390P



                            ₪319
                        
1

₪319"
80,120728,21/11/22 22:48,"דיסק קשיח פנימי Seagate Barracuda 2TB 3.5 7200 RPM 256MB cache
                            

מק""ט: ST-HD2001



                            ₪199
                        
1

₪199










                                באנדל מורכב ATX CASE 500W H410M H V3 i3-10105 BOX 8GB 240NVME
                            

מק""ט: MC-1010520H



                            ₪985
                        
1

₪985"
90,125300,16/12/22 22:40,"עכבר  Genius NX-7000 Black
                            

מק""ט: US-240



                            ₪28
                        
5

₪140










                                מתאם USB ל 2 - PS2
                            

מק""ט: 29090



                            ₪1
                        
5

₪5










                                ספק כח למחשב נייח SOLID 500W 12CM
                            

מק""ט: CCPS512



                            ₪49
                        
3

₪147










                                קירור נוזלי Cooler Master ML240L ARGB MASTER LIQUID V2
                            

מק""ט: CLM-L2424



                            ₪269
                        
1

₪269










                                כרטיס מסך GIGABYTE GeForce GTX 1660 SUPER 6GB GDDR6 192bit
                            

מק""ט: GVN166507



                            ₪950
                        
1

₪950










                                נייד DELL Vostro 3510 i5-1135G7 8GB 256GB NVME 15.6 FHD DOS 3YOS
                            

מק""ט: DLN-3510-6002



                            ₪1,599
                        
1

₪1,599










                                נייח MB311L 600W GOLD B660M G I5-12400 H412R 16GB 1TB NVME Gen4
                            

מק""ט: CS-125660



                            ₪1,850
                        
1

₪1,850"
99,127453,01/01/23 11:40,"כרטיס מסך GIGABYTE GeForce GTX 1660 SUPER 6GB GDDR6 192bit
                            

מק""ט: GVN166507



                            ₪950
                        
1

₪950










                                נייח MB311L 600W GOLD B660M G I5-12400 H412R 16GB 1TB NVME Gen4
                            

מק""ט: CS-125660



                            ₪1,850
                        
1

₪1,850










                                נייד GIGABYTE G5 ME i5-12500H 16GB 512Nvme Gen4 3050Ti FHD 144Hz
                            

מק""ט: GBN-G5-51213



                            ₪2,999
                        
1

₪2,999"
100,127968,03/01/23 17:58,"כרטיס רשת אלחוטי TPLINK TL-WN821N
                            

מק""ט: 916031



                            ₪36
                        
2

₪72










                                כבל VGA 1.8M
                            

מק""ט: 29102



                            ₪11
                        
3

₪33










                                ספק כח למחשב נייח SOLID 500W 12CM
                            

מק""ט: CCPS512



                            ₪49
                        
3

₪147"
101,128133,04/01/23 21:12,"דיסק פנימי SEAGATE BARRACUDA ST4000DM004 4TB 3.5 SATA
                            

מק""ט: ST-HD4000



                            ₪289
                        
1

₪289










                                באנדל מורכב ATX CASE 500W H510M-S2H V2 i5-11400 16GB 500NVME
                            

מק""ט: MC-115116H



                            ₪1,270
                        
1

₪1,270"
102,128317,07/01/23 20:41,"נייד Dell Inspiron i3-1115G4 8GB 256NVME FHD DOS 15.6 3 YOS
                            

מק""ט: DLN-3511-3003



                            ₪1,299
                        
2

₪2,598"
103,129544,16/01/23 12:13,"דיסק פנימי  GIGABYTE SSD 120GB SATA3 2.5
                            

מק""ט: 94SSD1200



                            ₪49
                        
2

₪98










                                רמקולים למחשב USB powered White  Creative Pebble
                            

מק""ט: 18049W



                            ₪77
                        
1

₪77"
110,131280,29/01/23 11:40,"באנדל חלקים SOLID/SAMA 500W H410M S2H i5-10400 i70 8GB 500GB NVME
                            

מק""ט: MC-1040020



                            ₪1,019
                        
1

₪1,019










                                כרטיס מסך Gigabyte GT 730 2GB 3.0 VGA DVI HDMI
                            

מק""ט: GVN7327



                            ₪259
                        
1

₪259"
114,132382,06/02/23 12:14,"נייד Dell Inspiron i3-1115G4 8GB 256NVME FHD DOS 15.6 3 YOS
                            

מק""ט: DLN-3511-3003



                            ₪1,370
                        
1

₪1,370"
115,132675,07/02/23 23:54,"באנדל מורכב ATX CASE 500W H510M-S2H V2 i5-11400 16GB 500NVME
                            

מק""ט: MC-115116H



                            ₪1,239
                        
1

₪1,239"
117,133476,14/02/23 13:37,"כבל HDMI 2.0M 4K
                            

מק""ט: 29081K



                            ₪12
                        
5

₪60










                                עכבר Genius NX-7000 White
                            

מק""ט: US-241



                            ₪28
                        
2

₪56










                                כרטיס מסך Gigabyte GT 730 2GB 3.0 VGA DVI HDMI
                            

מק""ט: GVN7327



                            ₪259
                        
1

₪259










                                באנדל חלקים Solid1700 500w psu H410M H i3-10100 i50 8GB 500NVME
                            

מק""ט: MC-1010333



                            ₪899
                        
1

₪899"
121,133929,19/02/23 10:48,"עכבר  Genius NX-7000 Black
                            

מק""ט: US-240



                            ₪28
                        
3

₪84










                                דיסק SanDisk SSD 480GB SATA III PLUS
                            

מק""ט: SSD-SN-410481



                            ₪99
                        
1

₪99










                                רמקולים SP-Q180 USB פס כחול 2X3W
                            

מק""ט: US-384



                            ₪29
                        
1

₪29"
122,134088,19/02/23 22:05,"כרטיס מסך Gigabyte GT 730 2GB 3.0 VGA DVI HDMI
                            

מק""ט: GVN7327



                            ₪259
                        
1

₪259










                                באנדל מורכב ATX CASE 500W H510M-S2H V2 i5-11400 16GB 500NVME
                            

מק""ט: MC-115116H



                            ₪1,239
                        
1

₪1,239"
126,134887,26/02/23 12:07,"כרטיס מסך Gigabyte GT 730 2GB 3.0 VGA DVI HDMI
                            

מק""ט: GVN7327



                            ₪259
                        
1

₪259










                                באנדל חלקים ATX CASE 500W H510M-S2H V2 i5-11400 16GB 500NVME
                            

מק""ט: MC-115116



                            ₪1,189
                        
1

₪1,189"
129,135050,27/02/23 12:58,"מסך Solid G2145 VA FHD VA 7ms Vga Hdmi Speakers Frameless
                            

מק""ט: SLM-F2145



                            ₪249
                        
1

₪249"
136,136183,08/03/23 21:27,"מפצל 4 PORT USB 2.0 פסיבי
                            

מק""ט: USB4P



                            ₪19
                        
3

₪57










                                צורב פנימי RW Bulk -/+LITEON 5.25 SATA III X24 DVD
                            

מק""ט: 22201



                            ₪49
                        
1

₪49










                                סט אלחוטי שחור 3 שפות Lenovo 510 Wireless Set Heb/Eng/Russian
                            

מק""ט: LN-KM510BR



                            ₪89
                        
1

₪89










                                באנדל מורכב ATX CASE 500W H510M H i5-11400 16GB 500NVME
                            

מק""ט: MC-115116H



                            ₪1,239
                        
1

₪1,239










                                Solid F272M FHD IPS 5ms VGA HDMI Speakers SuperSlim Frameless BLK
                            

מק""ט: SLM-F272P



                            ₪399
                        
1

₪399"
137,136349,11/03/23 23:59,"כרטיס מסך Gigabyte GT 730 2GB 3.0 VGA DVI HDMI
                            

מק""ט: GVN7327



                            ₪259
                        
1

₪259










                                באנדל מורכב ATX CASE 500W H510M H i5-11400 16GB 500NVME
                            

מק""ט: MC-115116H



                            ₪1,239
                        
1

₪1,239"
150,139290,04/04/23 21:31,"עכבר  Genius NX-7000 Black
                            

מק""ט: US-240



                            ₪28
                        
5

₪140










                                נתב Cudy X6-IL AX-1800 Wi-Fi 6 Mesh AP/Repeater/Router
                            

מק""ט: CD-X6



                            ₪170
                        
1

₪170"
155,140238,18/04/23 11:38,"באנדל חלקים Solid/SAMA 500W H610M H DDR4 i3-12100 8GB 500NVME
                            

מק""ט: MC-123000



                            ₪1,049
                        
1

₪1,049"
156,140366,18/04/23 17:52,"נייד DELL Vostro 3510 i3-1115G4 8GB 256GB NVME 15.6 FHD DOS 3YOS
                            

מק""ט: DLN-3510-14081



                            ₪1,430
                        
1

₪1,430"
